 "tags","is_answered","view_count","answer_count","score","last_activity_date","creation_date","last_edit_date","question_id","content_license","link","title","body","code"
"['python'; 'iteration']","True","736761","25","933","1616190762","1248968202","1519827952","1207406","CC BY-SA 3.0","https://stackoverflow.com/questions/1207406/how-to-remove-items-from-a-list-while-iterating","How to remove items from a list while iterating?","I'm iterating over a list of tuples in Python and am attempting to remove them if they meet certain criteria. for tup in somelist:    if determine(tup):         code_to_remove_tupWhat should I use in place of code_to_remove_tup? I can't figure out how to remove the item in this fashion.","[<code>fortupinsomelist:ifdetermine(tup):code_to_remove_tup</code><code>code_to_remove_tup</code>]"
"['python'; 'python-3.x'; 'python-2.7'; 'input'; 'int']","True","1009354","10","261","1647570010","1386472095","1556413510","20449427","CC BY-SA 4.0","https://stackoverflow.com/questions/20449427/how-can-i-read-inputs-as-numbers","How can I read inputs as numbers?","Why are x and y strings instead of ints in the below code?(Note: in Python 2.x use raw_input(). In Python 3.x use input(). raw_input() was renamed to input() in Python 3.x)play = Truewhile play:    x = input(Enter a number: )    y = input(Enter a number: )    print(x + y)    print(x - y)    print(x * y)    print(x / y)    print(x % y)    if input(Play again? ) == no:        play = False","[<code>x</code><code>y</code><code>raw_input()</code><code>input()</code><code>raw_input()</code><code>input()</code><code>play=Truewhileplay:x=input(Enteranumber:)y=input(Enteranumber:)print(x+y)print(x-y)print(x*y)print(x/y)print(x%y)ifinput(Playagain?)==no:play=False</code>]"
"['python'; 'list'; 'multidimensional-array'; 'flatten']","True","3325560","28","4568","1648913466","1244147405","1648547372","952914","CC BY-SA 4.0","https://stackoverflow.com/questions/952914/how-to-make-a-flat-list-out-of-a-list-of-lists","How to make a flat list out of a list of lists?","I want to flatten this list of lists:[[1 2 3] [4 5 6] [7] [8 9]]into:[1 2 3 4 5 6 7 8 9]","[<code>[[123][456][7][89]]</code><code>[123456789]</code>]"
"['python'; 'list'; 'split'; 'chunks']","True","1372893","70","2815","1648778389","1227442552","1648778237","312443","CC BY-SA 4.0","https://stackoverflow.com/questions/312443/how-do-you-split-a-list-into-evenly-sized-chunks","How do you split a list into evenly sized chunks?","How do I split a list of arbitrary length into equal sized chunks?Related question: What is the most “pythonic” way to iterate over a list in chunks?","[]"
"['python'; 'reference'; 'parameter-passing'; 'pass-by-reference']","True","1736581","36","3065","1648816279","1244802231","1648816279","986006","CC BY-SA 4.0","https://stackoverflow.com/questions/986006/how-do-i-pass-a-variable-by-reference","How do I pass a variable by reference?","Are parameters are passed by reference or value? How do I pass by reference so that the code below outputs 'Changed' instead of 'Original'?class PassByReference:    def __init__(self):        self.variable = 'Original'        self.change(self.variable)        print(self.variable)    def change(self var):        var = 'Changed'","[<code>'Changed'</code><code>'Original'</code><code>classPassByReference:def__init__(self):self.variable='Original'self.change(self.variable)print(self.variable)defchange(selfvar):var='Changed'</code>]"
"['python'; 'syntax'; 'parameter-passing'; 'variadic-functions'; 'argument-unpacking']","True","1050988","23","2957","1648777679","1220195075","1648777679","36901","CC BY-SA 4.0","https://stackoverflow.com/questions/36901/what-does-double-star-asterisk-and-star-asterisk-do-for-parameters","What does ** (double star/asterisk) and * (star/asterisk) do for parameters?","What do *args and **kwargs mean?def foo(x y *args):def bar(x y **kwargs):","[<code>*args</code><code>**kwargs</code><code>deffoo(xy*args):defbar(xy**kwargs):</code>]"
"['python'; 'pandas'; 'dataframe'; 'chained-assignment']","True","1432134","20","1094","1644652458","1387252082","1601963348","20625582","CC BY-SA 4.0","https://stackoverflow.com/questions/20625582/how-to-deal-with-settingwithcopywarning-in-pandas","How to deal with SettingWithCopyWarning in Pandas","BackgroundI just upgraded my Pandas from 0.11 to 0.13.0rc1. Now the application is popping out many new warnings. One of them like this:E:\FinReporter\FM_EXT.py:449: SettingWithCopyWarning: A value is trying to be set on a copy of a slice from a DataFrame.Try using .loc[row_indexcol_indexer] = value instead  quote_df['TVol']   = quote_df['TVol']/TVOL_SCALEI want to know what exactly it means?  Do I need to change something?How should I suspend the warning if I insist to use quote_df['TVol']   = quote_df['TVol']/TVOL_SCALE?The function that gives errorsdef _decode_stock_quote(list_of_150_stk_str):    decode the webpage and return dataframe    from cStringIO import StringIO    str_of_all = .join(list_of_150_stk_str)    quote_df = pd.read_csv(StringIO(str_of_all) sep='' names=list('ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefg')) #dtype={'A': object 'B': object 'C': np.float64}    quote_df.rename(columns={'A':'STK' 'B':'TOpen' 'C':'TPCLOSE' 'D':'TPrice' 'E':'THigh' 'F':'TLow' 'I':'TVol' 'J':'TAmt' 'e':'TDate' 'f':'TTime'} inplace=True)    quote_df = quote_df.ix[:[032145893031]]    quote_df['TClose'] = quote_df['TPrice']    quote_df['RT']     = 100 * (quote_df['TPrice']/quote_df['TPCLOSE'] - 1)    quote_df['TVol']   = quote_df['TVol']/TVOL_SCALE    quote_df['TAmt']   = quote_df['TAmt']/TAMT_SCALE    quote_df['STK_ID'] = quote_df['STK'].str.slice(1319)    quote_df['STK_Name'] = quote_df['STK'].str.slice(2130)#.decode('gb2312')    quote_df['TDate']  = quote_df.TDate.map(lambda x: x[0:4]+x[5:7]+x[8:10])        return quote_dfMore error messagesE:\FinReporter\FM_EXT.py:449: SettingWithCopyWarning: A value is trying to be set on a copy of a slice from a DataFrame.Try using .loc[row_indexcol_indexer] = value instead  quote_df['TVol']   = quote_df['TVol']/TVOL_SCALEE:\FinReporter\FM_EXT.py:450: SettingWithCopyWarning: A value is trying to be set on a copy of a slice from a DataFrame.Try using .loc[row_indexcol_indexer] = value instead  quote_df['TAmt']   = quote_df['TAmt']/TAMT_SCALEE:\FinReporter\FM_EXT.py:453: SettingWithCopyWarning: A value is trying to be set on a copy of a slice from a DataFrame.Try using .loc[row_indexcol_indexer] = value instead  quote_df['TDate']  = quote_df.TDate.map(lambda x: x[0:4]+x[5:7]+x[8:10])","[<code>E:\FinReporter\FM_EXT.py:449:SettingWithCopyWarning:AvalueistryingtobesetonacopyofaslicefromaDataFrame.Tryusing.loc[row_indexcol_indexer]=valueinsteadquote_df['TVol']=quote_df['TVol']/TVOL_SCALE</code><code>quote_df['TVol']=quote_df['TVol']/TVOL_SCALE</code><code>def_decode_stock_quote(list_of_150_stk_str):decodethewebpageandreturndataframefromcStringIOimportStringIOstr_of_all=.join(list_of_150_stk_str)quote_df=pd.read_csv(StringIO(str_of_all)sep=''names=list('ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefg'))#dtype={'A':object'B':object'C':np.float64}quote_df.rename(columns={'A':'STK''B':'TOpen''C':'TPCLOSE''D':'TPrice''E':'THigh''F':'TLow''I':'TVol''J':'TAmt''e':'TDate''f':'TTime'}inplace=True)quote_df=quote_df.ix[:[032145893031]]quote_df['TClose']=quote_df['TPrice']quote_df['RT']=100*(quote_df['TPrice']/quote_df['TPCLOSE']-1)quote_df['TVol']=quote_df['TVol']/TVOL_SCALEquote_df['TAmt']=quote_df['TAmt']/TAMT_SCALEquote_df['STK_ID']=quote_df['STK'].str.slice(1319)quote_df['STK_Name']=quote_df['STK'].str.slice(2130)#.decode('gb2312')quote_df['TDate']=quote_df.TDate.map(lambdax:x[0:4]+x[5:7]+x[8:10])returnquote_df</code><code>E:\FinReporter\FM_EXT.py:449:SettingWithCopyWarning:AvalueistryingtobesetonacopyofaslicefromaDataFrame.Tryusing.loc[row_indexcol_indexer]=valueinsteadquote_df['TVol']=quote_df['TVol']/TVOL_SCALEE:\FinReporter\FM_EXT.py:450:SettingWithCopyWarning:AvalueistryingtobesetonacopyofaslicefromaDataFrame.Tryusing.loc[row_indexcol_indexer]=valueinsteadquote_df['TAmt']=quote_df['TAmt']/TAMT_SCALEE:\FinReporter\FM_EXT.py:453:SettingWithCopyWarning:AvalueistryingtobesetonacopyofaslicefromaDataFrame.Tryusing.loc[row_indexcol_indexer]=valueinsteadquote_df['TDate']=quote_df.TDate.map(lambdax:x[0:4]+x[5:7]+x[8:10])</code>]"
"['python'; 'global-variables'; 'scope']","True","3673237","23","3628","1649084305","1231393502","1526813265","423379","CC BY-SA 4.0","https://stackoverflow.com/questions/423379/using-global-variables-in-a-function","Using global variables in a function","How can I create or use a global variable in a function?If I create a global variable in one function how can I use that global variable in another function? Do I need to store the global variable in a local variable of the function which needs its access?","[]"
"['python'; 'namespaces'; 'main'; 'python-module'; 'idioms']","True","3978719","40","7404","1648647192","1231301460","1648545278","419163","CC BY-SA 4.0","https://stackoverflow.com/questions/419163/what-does-if-name-main-do","What does if __name__ == __main__: do?","What does this do?if __name__ == __main__:    print(Hello world!)","[<code>if__name__==__main__:print(Helloworld!)</code>]"
"['python'; 'scope'; 'dynamic-languages']","True","253917","9","502","1594110514","1226713717","1548323635","291978","CC BY-SA 4.0","https://stackoverflow.com/questions/291978/short-description-of-the-scoping-rules","Short description of the scoping rules?","What exactly are the Python scoping rules?If I have some code:code1class Foo:   code2   def spam.....      code3      for code4..:       code5       x()Where is x found?  Some possible choices include the list below:In the enclosing source fileIn the class namespaceIn the function definitionIn the for loop index variableInside the for loopAlso there is the context during execution when the function spam is passed somewhere else. And maybe lambda functions pass a bit differently?There must be a simple reference or algorithm somewhere.  It's a confusing world for intermediate Python programmers.","[<code>code1classFoo:code2defspam.....code3forcode4..:code5x()</code><code>x</code><code>spam</code>]"
